country,gender,2020,2021,2022,2023,2024
Afghanistan,male,19725450,20186456,20475675,20924078,21532540
Afghanistan,female,19343529,19813956,20103167,20530683,21114952
Africa Eastern and Southern,male,343576395,352841557,362165890,371478016,380832778
Africa Eastern and Southern,female,350869705,360249371,369655503,379025748,388462189
Africa Western and Central,male,238881426,244638086,250438879,256499160,262752196
Africa Western and Central,female,235687925,241282911,246948301,252899429,259011880
Albania,male,1404528,1390872,1373582,1357630,1347075
Albania,female,1433321,1420794,1404107,1388342,1378039
Algeria,male,22490324,22848428,23206874,23549235,23874384
Algeria,female,21551767,21912671,22270515,22614984,22939924
American Samoa,male,25170,24888,24430,24001,23602
American Samoa,female,24591,24337,23912,23520,23163
Andorra,male,39386,40011,40793,41354,41884
Andorra,female,37994,38353,38912,39502,40054
Angola,male,16539639,17077372,17626416,18181690,18747466
Angola,female,16911493,17455057,18008613,18568216,19138383
Antigua and Barbuda,male,43667,43919,44170,44408,44633
Antigua and Barbuda,female,48179,48430,48670,48908,49139
Arab World,male,234833174,238039933,243737501,249137276,253916861
Arab World,female,218890065,222606670,227614565,232530263,237040822
Argentina,male,22419484,22478115,22527129,22596984,22680713
Argentina,female,22772481,22834166,22880775,22941417,23015446
Armenia,male,1369076,1370352,1374836,1387410,1378665
Armenia,female,1592424,1591948,1594364,1603490,1590629
Aruba,male,51205,50800,50658,50706,50762
Aruba,female,57382,56900,56652,56653,56697
Australia,male,12726843,12744892,12907891,13226767,13353779
Australia,female,12922405,12940520,13106508,13432181,13559193
Austria,male,4386847,4406456,4449465,4494691,4490099
Austria,female,4530017,4549341,4592386,4637070,4629669
Azerbaijan,male,4936921,4961161,4966581,4975494,5009761
Azerbaijan,female,5156200,5176589,5175175,5178464,5210402
"Bahamas, The",male,189876,189918,190243,190909,191597
"Bahamas, The",female,205987,206455,207295,208531,209686
Bahrain,male,917338,932714,944896,978986,1002321
Bahrain,female,554866,571651,579797,598073,613257
Bangladesh,male,81878880,82572341,83399395,84357711,85343656
Bangladesh,female,84419144,85086513,85985502,87109279,88218708
Barbados,male,135102,135357,135411,135364,135423
Barbados,female,146596,146790,146907,146972,147044
Belarus,male,4372320,4334726,4299910,4277430,4250188
Belarus,female,5007632,4967859,4928161,4900868,4870374
Belgium,male,5690995,5713093,5756528,5810299,5823302
Belgium,female,5847609,5873102,5923682,5977124,5986131
Belize,male,196764,198902,202913,207487,210442
Belize,female,194048,196444,199820,203619,206630
Benin,male,6546526,6720675,6896459,7074605,7252565
Benin,female,6523643,6692742,6863042,7036429,7210159
Bermuda,male,31671,31732,31733,31680,31619
Bermuda,female,32711,32916,33016,33018,33017
Bhutan,male,413208,415688,418190,420683,423047
Bhutan,female,356798,359754,362724,365702,368477
Bolivia,male,5940065,5989944,6053750,6135731,6219215
Bolivia,female,5876234,5947416,6023404,6108428,6194100
Bosnia and Herzegovina,male,1568697,1543349,1524174,1514667,1505794
Bosnia and Herzegovina,female,1730652,1701558,1680628,1670406,1658459
Botswana,male,1180817,1199123,1217995,1236969,1256565
Botswana,female,1185077,1202318,1221897,1243275,1264574
Brazil,male,102844473,103236465,103548935,103913061,104295118
Brazil,female,105816369,106313829,106757480,107227668,107703455
British Virgin Islands,male,17459,17731,18003,18413,18692
British Virgin Islands,female,19676,20078,20316,20572,20779
Brunei Darussalam,male,238104,240401,242167,243889,245699
Brunei Darussalam,female,209300,211320,213203,215060,217022
Bulgaria,male,3359664,3330497,3216090,3120023,3100939
Bulgaria,female,3574351,3547246,3427234,3326573,3307237
Burkina Faso,male,10693067,10953636,11211359,11468763,11730086
Burkina Faso,female,10785623,11041607,11297679,11557013,11818695
Burundi,male,6264949,6438864,6616267,6799975,6978594
Burundi,female,6352087,6526617,6704830,6889475,7069192
Cabo Verde,male,261787,262888,264410,265691,266947
Cabo Verde,female,252892,253761,255331,256640,257930
Cambodia,male,8180637,8306910,8421853,8533951,8642987
Cambodia,female,8544837,8667395,8779871,8889929,8995814
Cameroon,male,13064540,13415332,13772296,14140585,14514341
Cameroon,female,13146018,13500426,13860475,14232102,14609403
Canada,male,18893273,18998959,19340865,19912181,20106977
Canada,female,19135365,19240905,19598191,20185580,20384623
Cayman Islands,male,34513,35243,35969,36676,37375
Cayman Islands,female,34171,34865,35622,36362,37082
Central African Republic,male,2444831,2483247,2456263,2467628,2557962
Central African Republic,female,2581797,2628853,2641776,2684793,2772728
Chad,male,8642229,8944698,9258738,9691189,10181358
Chad,female,8582450,8883575,9196578,9627875,10117765
Channel Islands,male,82161,82402,82618,82826,83015
Channel Islands,female,84074,84339,84597,84865,85111
Chile,male,9633238,9672367,9717972,9770154,9823449
Chile,female,9737386,9783967,9835064,9888681,9941322
China,male,720786535,721006989,720456300,719169536,717056509
China,female,690313465,691353011,691718700,691540464,690550915
Colombia,male,25013101,25273270,25533693,25818556,26095271
Colombia,female,25616896,25914903,26204251,26502596,26791092
Comoros,male,403523,411524,419558,427697,435815
Comoros,female,398640,406650,414630,422690,430813
"Congo, Dem. Rep.",male,47616599,49185125,50798301,52483883,54216832
"Congo, Dem. Rep.",female,48373399,49963807,51598667,53305848,55059433
"Congo, Rep.",male,2876520,2946068,3017464,3091229,3166095
"Congo, Rep.",female,2876271,2946115,3017640,3091656,3166866
Costa Rica,male,2490812,2502349,2512039,2523133,2534728
Costa Rica,female,2543508,2557639,2569726,2582392,2595182
Cote d'Ivoire,male,14767493,15121701,15491846,15869633,16246681
Cote d'Ivoire,female,14147956,14518035,14903156,15296021,15687549
Croatia,male,1885719,1869094,1858433,1861175,1848494
Croatia,female,2028487,2009887,1997208,1998511,1983490
Cuba,male,5530297,5497667,5461345,5438940,5416880
Cuba,female,5646057,5624501,5598475,5580991,5562903
Curacao,male,73637,72451,71330,70330,70416
Curacao,female,81310,79918,78666,77532,77535
Cyprus,male,656652,663943,670825,677602,684248
Cyprus,female,645595,653366,660545,667374,674034
Czechia,male,5273457,5178895,5261543,5356990,5301501
Czechia,female,5424401,5326877,5410575,5507052,5449473
Denmark,male,2900774,2913810,2935909,2955957,2967601
Denmark,female,2930630,2942923,2967128,2990995,3002778
Djibouti,male,548317,556130,563858,571602,579313
Djibouti,female,556871,565118,573238,581342,589409
Dominica,male,33900,33710,33498,33298,33102
Dominica,female,33673,33492,33328,33212,33103
Dominican Republic,male,5480943,5535229,5586214,5634533,5681194
Dominican Republic,female,5527357,5588247,5644520,5696732,5746363
Ecuador,male,8760001,8821568,8888825,8964951,9041130
Ecuador,female,8786064,8860886,8935072,9015132,9094348
"Egypt, Arab Rep.",male,55193553,56026138,56867200,57830587,58840145
"Egypt, Arab Rep.",female,54121571,54930870,55751050,56705185,57698113
El Salvador,male,2962869,2972125,2983400,2997185,3010733
El Salvador,female,3271804,3283657,3296919,3312439,3327460
Equatorial Guinea,male,908719,929916,952684,974877,997748
Equatorial Guinea,female,807749,828870,850861,872672,894768
Eritrea,male,1622323,1651920,1681805,1712524,1745353
Eritrea,female,1668948,1698263,1727642,1757866,1790250
Estonia,male,629931,631170,640136,650852,645079
Estonia,female,699591,699762,708704,719434,711650
Eswatini,male,585072,592169,598334,604016,610191
Eswatini,female,607657,614424,620583,626490,632631
Ethiopia,male,59626568,61227788,62841233,64486162,66167290
Ethiopia,female,59291103,60910800,62543054,64205530,65892477
Faroe Islands,male,27192,27596,27928,28178,28504
Faroe Islands,female,25379,25719,26024,26304,26661
Fiji,male,454673,455108,456267,458652,460973
Fiji,female,460290,461603,463155,465493,467811
Finland,male,2731048,2738486,2746486,2759480,2764375
Finland,female,2798495,2802531,2809620,2824431,2828501
France,male,32745186,32868819,32983228,33098317,33152453
France,female,34855924,34973992,35081787,35189170,35233547
French Polynesia,male,141529,141708,141936,142256,142530
French Polynesia,female,137680,138084,138442,138862,139277
Gabon,male,1182718,1209288,1235742,1262242,1288745
Gabon,female,1139821,1167434,1195005,1222547,1250207
"Gambia, The",male,1251981,1282181,1312497,1343260,1374334
"Gambia, The",female,1263752,1293829,1323973,1354585,1385654
Georgia,male,1733482,1727156,1729714,1731528,1731937
Georgia,female,1989234,1981454,1982788,1983955,1983582
Germany,male,41060242,41072019,41369285,41119651,40966589
Germany,female,42100629,42124059,42428700,42160349,41993051
Ghana,male,15934246,16247587,16560812,16877545,17194242
Ghana,female,15953563,16271078,16588340,16910369,17233172
Gibraltar,male,18015,18345,18714,19145,19575
Gibraltar,female,18158,18513,18895,19326,19754
Greece,male,5184802,5120513,5054741,5039990,4953569
Greece,female,5513797,5448694,5382141,5365598,5272876
Greenland,male,29736,29873,29859,29936,29654
Greenland,female,26631,26780,26802,26929,27045
Grenada,male,58550,58680,58735,58747,58755
Grenada,female,57791,58008,58178,58334,58452
Guam,male,82450,83157,83818,84416,84988
Guam,female,79708,80573,81362,82090,82789
Guatemala,male,8613994,8730024,8851469,8989012,9129191
Guatemala,female,8743331,8868626,8996408,9135826,9277168
Guinea,male,6592746,6766588,6943315,7122533,7301267
Guinea,female,6778437,6943925,7111822,7282935,7453518
Guinea-Bissau,male,993130,1016116,1039679,1063795,1088010
Guinea-Bissau,female,1020125,1042725,1065850,1089544,1113342
Guyana,male,394212,397649,400371,402457,404584
Guyana,female,413269,417833,421266,423896,426503
Haiti,male,5575373,5637251,5698315,5761588,5825356
Haiti,female,5668475,5737335,5805291,5875810,5947201
Honduras,male,5098597,5182860,5269396,5359700,5449967
Honduras,female,5021043,5107017,5194476,5285151,5375736
"Hong Kong SAR, China",male,3378536,3344789,3313817,3397208,3378130
"Hong Kong SAR, China",female,4102464,4068311,4032283,4138892,4120805
Hungary,male,4672406,4655255,4625983,4602840,4592879
Hungary,female,5077743,5054636,5018394,4989346,4972060
Iceland,male,187964,190908,195691,201394,204095
Iceland,female,178499,181612,186312,191955,194489
India,male,724175467,729924103,735531456,741883264,748323427
India,female,678442228,684279793,689891756,696186332,702612364
Indonesia,male,138073249,139031455,140070494,141255767,142407916
Indonesia,female,136741617,137726598,138760035,139934300,141080015
"Iran, Islamic Rep.",male,44652495,45006117,45529146,46061602,46532057
"Iran, Islamic Rep.",female,43070948,43449371,43995100,44547105,45035681
Iraq,male,21099579,21586716,22099525,22614115,23111081
Iraq,female,21017026,21484495,21971026,22459934,22930934
Ireland,male,2468537,2491968,2557643,2627523,2654679
Ireland,female,2516845,2541196,2608057,2680077,2708104
Isle of Man,male,41663,41670,41675,41683,41666
Isle of Man,female,42401,42436,42457,42482,42494
Israel,male,4579637,4659605,4754582,4855903,4925263
Israel,female,4635463,4711795,4802918,4900697,4966580
Italy,male,28998396,28862431,28813924,28815309,28733958
Italy,female,30440455,30270742,30199743,30178166,30056814
