Country Name,Country Code,Series Name,Series Code,2020 _YR2020_,2021 _YR2021_,2022 _YR2022_,2023 _YR2023_,2024 _YR2024_
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: Population estimates and projections,,,,,,,,
Last Updated: 12/16/2024,,,,,,,,
Afghanistan,AFG,"Population, male",SP.POP.TOTL.MA.IN,19725450,20186456,20475675,20924078,21532540
Africa Eastern and Southern,AFE,"Population, male",SP.POP.TOTL.MA.IN,343576395,352841557,362165890,371478016,380832778
Africa Western and Central,AFW,"Population, male",SP.POP.TOTL.MA.IN,238881426,244638086,250438879,256499160,262752196
Albania,ALB,"Population, male",SP.POP.TOTL.MA.IN,1404528,1390872,1373582,1357630,1347075
Algeria,DZA,"Population, male",SP.POP.TOTL.MA.IN,22490324,22848428,23206874,23549235,23874384
American Samoa,ASM,"Population, male",SP.POP.TOTL.MA.IN,25170,24888,24430,24001,23602
Andorra,AND,"Population, male",SP.POP.TOTL.MA.IN,39386,40011,40793,41354,41884
Angola,AGO,"Population, male",SP.POP.TOTL.MA.IN,16539639,17077372,17626416,18181690,18747466
Antigua and Barbuda,ATG,"Population, male",SP.POP.TOTL.MA.IN,43667,43919,44170,44408,44633
Arab World,ARB,"Population, male",SP.POP.TOTL.MA.IN,234833174,238039933,243737501,249137276,253916861
Argentina,ARG,"Population, male",SP.POP.TOTL.MA.IN,22419484,22478115,22527129,22596984,22680713
Armenia,ARM,"Population, male",SP.POP.TOTL.MA.IN,1369076,1370352,1374836,1387410,1378665
Aruba,ABW,"Population, male",SP.POP.TOTL.MA.IN,51205,50800,50658,50706,50762
Australia,AUS,"Population, male",SP.POP.TOTL.MA.IN,12726843,12744892,12907891,13226767,13353779
Austria,AUT,"Population, male",SP.POP.TOTL.MA.IN,4386847,4406456,4449465,4494691,4490099
Azerbaijan,AZE,"Population, male",SP.POP.TOTL.MA.IN,4936921,4961161,4966581,4975494,5009761
"Bahamas, The",BHS,"Population, male",SP.POP.TOTL.MA.IN,189876,189918,190243,190909,191597
Bahrain,BHR,"Population, male",SP.POP.TOTL.MA.IN,917338,932714,944896,978986,1002321
Bangladesh,BGD,"Population, male",SP.POP.TOTL.MA.IN,81878880,82572341,83399395,84357711,85343656
Barbados,BRB,"Population, male",SP.POP.TOTL.MA.IN,135102,135357,135411,135364,135423
Belarus,BLR,"Population, male",SP.POP.TOTL.MA.IN,4372320,4334726,4299910,4277430,4250188
Belgium,BEL,"Population, male",SP.POP.TOTL.MA.IN,5690995,5713093,5756528,5810299,5823302
Belize,BLZ,"Population, male",SP.POP.TOTL.MA.IN,196764,198902,202913,207487,210442
Benin,BEN,"Population, male",SP.POP.TOTL.MA.IN,6546526,6720675,6896459,7074605,7252565
Bermuda,BMU,"Population, male",SP.POP.TOTL.MA.IN,31671,31732,31733,31680,31619
Bhutan,BTN,"Population, male",SP.POP.TOTL.MA.IN,413208,415688,418190,420683,423047
Bolivia,BOL,"Population, male",SP.POP.TOTL.MA.IN,5940065,5989944,6053750,6135731,6219215
Bosnia and Herzegovina,BIH,"Population, male",SP.POP.TOTL.MA.IN,1568697,1543349,1524174,1514667,1505794
